particle,energy_GeV,N_ch,N_sim,Edep_GeV
electron,1.0,0,4,40.1549765625
electron,1.0,1,0,40.7053125
electron,1.0,1,1,39.868140625
electron,1.0,1,2,40.96906640625
electron,1.0,1,3,40.208765625
electron,1.0,1,4,40.67916015625
electron,1.0,2,0,40.09058203125
electron,1.0,2,1,39.651640625
electron,1.0,2,2,39.763515625
electron,1.0,2,3,40.73629296875
electron,1.0,2,4,40.03505078125
electron,1.0,6,0,39.96378515625
electron,1.0,6,1,40.65563671875
electron,1.0,6,2,41.42149609375
electron,1.0,6,3,41.21983203125
electron,1.0,6,4,38.962453125
electron,1.0,7,0,41.28988671875
electron,1.0,7,1,39.895203125
electron,1.0,7,2,40.3115078125
electron,1.0,7,3,40.7098984375
electron,1.0,7,4,40.07218359375
electron,1.2,0,0,47.4656953125
electron,1.2,0,1,46.79505859375
electron,1.2,0,2,47.51952734375
electron,1.2,0,3,46.80690625
electron,1.2,0,4,47.9429140625
electron,1.2,1,0,47.4339921875
electron,1.2,1,1,47.76651953125
electron,1.2,1,2,47.3977421875
electron,1.2,1,3,47.740453125
electron,1.2,1,4,46.93691796875
electron,1.2,2,0,47.10573046875
electron,1.2,2,1,47.7864921875
electron,1.2,2,2,47.49594140625
electron,1.2,2,3,47.04531640625
electron,1.2,2,4,48.222265625
electron,1.2,6,0,47.592421875
electron,1.2,6,1,48.0429921875
electron,1.2,6,2,47.4750546875
electron,1.2,6,3,47.63737109375
electron,1.2,6,4,47.49338671875
electron,1.2,7,0,47.55130078125
electron,1.2,7,1,48.03629296875
electron,1.2,7,2,47.02269921875
electron,1.2,7,3,47.81527734375
electron,1.2,7,4,46.2979375
electron,1.5,0,0,57.27425390625
electron,1.5,0,1,57.5738359375
electron,1.5,0,2,57.21396484375
electron,1.5,0,3,59.53613671875
electron,1.5,0,4,58.64208984375
electron,1.5,1,0,57.8983515625
electron,1.5,1,1,57.71591796875
electron,1.5,1,2,58.233515625
electron,1.5,1,3,57.73265234375
electron,1.5,1,4,57.7308828125
